repo_id,repo_name,owner_type,language,stars,forks,open_issues,watchers,size_kb,created_year,created_month,license,has_wiki,topic
32,node-express-template,org,JavaScript,18358,3374,105,19746,27023,2025,5,Apache-2.0,true,api
33,vanilla-js-30-projects,org,JavaScript,154144,28382,1209,143380,24458,2026,6,Apache-2.0,true,web
34,smooth-chart-animations,org,JavaScript,19765,3277,85,21136,76730,2022,6,MIT,true,web
35,browser-storage-utils,user,JavaScript,3408,445,21,3487,61002,2022,1,MIT,false,web
36,2d-game-engine-js,org,JavaScript,12507,2244,111,12966,7313,2018,4,BSD-3-Clause,false,game
37,websocket-server-utils,user,JavaScript,17521,3313,161,16978,8589,2023,3,GPL-3.0,false,api
38,markdown-parser-zero-dep,user,JavaScript,19409,2762,125,19766,9378,2025,9,None,false,devtools
39,color-palette-generator,user,JavaScript,5663,684,27,5357,84184,2023,11,Apache-2.0,true,devtools
40,css-animation-library,org,JavaScript,65409,11501,368,61543,66792,2022,2,MIT,true,web
41,pdf-viewer-in-browser,org,JavaScript,22407,3922,145,24431,15009,2019,7,BSD-3-Clause,false,web
42,lightweight-state-manager,user,JavaScript,38271,3682,292,39058,47265,2019,12,GPL-3.0,true,web
43,api-mock-server-js,org,JavaScript,24150,3614,120,21962,27814,2024,10,Apache-2.0,true,devtools
44,canvas-drawing-app,org,JavaScript,994,156,7,932,72480,2018,2,None,false,game
45,smart-notification-system,org,JavaScript,15174,2342,97,15703,13561,2026,10,Apache-2.0,false,web
46,drag-and-drop-lib,user,JavaScript,20244,2703,129,19241,42504,2018,11,Apache-2.0,true,web
47,date-utils-zero-deps,org,JavaScript,52718,4477,404,48129,76610,2024,8,None,false,devtools
48,testing-helpers-jest,org,JavaScript,15978,2202,105,15899,38362,2023,1,BSD-3-Clause,false,devtools
49,search-autocomplete-widget,org,JavaScript,8664,1077,70,9411,23803,2023,11,GPL-3.0,false,web
50,headless-ui-kit-js,org,JavaScript,52220,6947,328,54871,10418,2024,8,None,true,web
51,trpc-nextjs-starter,org,TypeScript,25454,4817,87,25536,41439,2024,7,BSD-3-Clause,true,api
52,next-saas-boilerplate,user,TypeScript,79132,15631,773,84064,81387,2025,2,MIT,true,web
53,prisma-seed-factory,user,TypeScript,14823,2741,115,15641,27929,2025,6,None,true,data
54,nestjs-microservices-template,org,TypeScript,8122,1015,66,7392,11835,2020,8,Apache-2.0,true,api
55,type-safe-api-client,org,TypeScript,13190,2310,108,11913,58190,2025,4,GPL-3.0,true,api
56,react-custom-hooks-lib,user,TypeScript,45973,8323,341,44273,39556,2022,12,MIT,true,web
57,zod-openapi-integration,user,TypeScript,17881,3137,108,18226,70979,2021,8,MIT,true,devtools
58,typescript-algorithms,user,TypeScript,161530,26651,1125,163035,53615,2026,10,MIT,false,cli
59,graphql-codegen-plugins,org,TypeScript,23191,1855,75,23302,4998,2024,8,MIT,true,api
60,monorepo-workspace-tools,org,TypeScript,44013,4568,361,45357,4356,2023,8,None,true,devtools
61,ai-chat-interface,org,TypeScript,57348,7418,409,53845,11593,2024,9,Apache-2.0,true,ml
62,electron-react-boilerplate,org,TypeScript,48706,7382,261,50325,83205,2026,9,Apache-2.0,true,devtools
63,remix-fullstack-starters,org,TypeScript,23349,2522,95,22508,83529,2022,12,MIT,true,web
64,accessible-data-table,user,TypeScript,24774,2727,241,23406,80393,2020,7,Apache-2.0,false,web
65,cli-framework-ts,org,TypeScript,23885,3708,124,23935,31061,2022,3,GPL-3.0,true,cli
66,mcp-server-sdk,org,TypeScript,54729,10214,389,58606,37785,2023,6,GPL-3.0,true,api
67,browser-extension-boilerplate,user,TypeScript,13175,1328,40,13729,32555,2020,1,MIT,true,devtools
68,go-rest-api-scaffold,user,Go,5860,792,46,5434,60247,2019,4,BSD-3-Clause,false,api
69,k8s-controller-template,org,Go,17318,2358,151,15878,17045,2021,11,None,true,cloud
70,cli-task-manager-go,org,Go,8484,1352,62,8912,79935,2021,5,MIT,true,cli
71,grpc-gateway-examples,org,Go,34560,2909,311,31761,45489,2022,8,None,true,api
72,k8s-operator-boilerplate,org,Go,15487,2913,142,14211,19236,2026,5,BSD-3-Clause,true,cloud
73,go-algorithms-patterns,org,Go,42846,5339,229,44088,74100,2025,3,GPL-3.0,true,cli
74,distributed-key-value-store,user,Go,19576,2909,115,21522,18937,2021,1,MIT,false,cloud
75,structured-log-aggregator,org,Go,11779,2025,79,11665,32296,2026,9,GPL-3.0,false,devtools
76,web-scraper-go,org,Go,10830,1626,53,9991,71795,2021,2,None,false,data
77,jwt-middleware-go,org,Go,16502,1450,121,17743,16225,2025,3,None,true,security
78,rate-limiter-redis-go,user,Go,5418,690,18,5291,41025,2021,1,None,true,api
79,prometheus-custom-exporter,org,Go,7489,770,59,7928,82951,2025,11,Apache-2.0,true,cloud
80,wasm-game-engine-rs,org,Rust,21455,2260,65,22920,77199,2026,3,MIT,false,game
81,tokio-async-runtime,org,Rust,61936,9659,225,63607,58521,2025,1,None,false,api
82,clap-cli-framework,user,Rust,12387,1107,61,13378,84311,2023,3,MIT,true,cli
83,rust-algorithms-book,org,Rust,191141,23023,1848,208326,65346,2019,5,Apache-2.0,false,cli
84,memory-safe-json-parser,org,Rust,15876,2414,121,16164,5549,2025,9,BSD-3-Clause,true,devtools
85,embedded-hal-drivers,org,Rust,9487,1243,35,10319,17020,2020,8,BSD-3-Clause,true,cli
86,async-network-protocol,org,Rust,13106,1602,79,13694,6960,2023,8,BSD-3-Clause,true,api
87,sqlx-postgres-utils,org,Rust,14711,2551,59,14590,55559,2021,3,None,true,data
88,gui-framework-egui-apps,org,Rust,75817,14306,279,75765,73588,2020,6,BSD-3-Clause,false,web
89,serde-custom-formats,user,Rust,44542,8680,153,48540,63001,2022,4,Apache-2.0,false,devtools
90,security-crypto-toolkit,org,Rust,9142,764,73,8512,21960,2018,10,MIT,true,security
91,ratatui-terminal-ui,org,Rust,14059,1690,105,14316,25650,2025,11,BSD-3-Clause,true,cli
92,spring-cloud-microservices,user,Java,45213,6864,446,43393,35008,2021,4,BSD-3-Clause,false,api
93,design-patterns-in-java,org,Java,157343,27518,1089,172715,73990,2026,8,GPL-3.0,false,cli
94,java-interview-handbook,org,Java,110244,9620,798,99634,11129,2024,3,Apache-2.0,false,cli
95,android-clean-architecture,user,Java,24379,3359,195,26125,68924,2020,10,Apache-2.0,false,mobile
96,jdbc-connection-pool,org,Java,19457,3313,180,19416,21554,2023,8,Apache-2.0,true,data
97,kafka-stream-processing,org,Java,17545,2722,116,18994,34697,2026,10,MIT,true,cloud
98,reactive-spring-webflux,org,Java,21702,2368,83,23174,33407,2023,11,GPL-3.0,false,api
99,spring-security-examples,user,Java,27442,3143,268,29969,48309,2022,3,MIT,true,security
100,android-firebase-template,org,Java,10753,2146,82,10209,25970,2019,3,None,true,mobile
101,opengl-rendering-engine,org,C++,12730,2170,54,12926,39234,2023,5,GPL-3.0,true,game
102,embedded-rtos-minimal,user,C++,18199,1930,142,19329,52580,2019,4,MIT,true,cli
103,deep-learning-from-scratch,org,C++,54210,9255,268,49106,42470,2018,10,GPL-3.0,false,ml
104,compression-algorithm-bench,user,C++,16205,2320,144,17757,14604,2018,10,BSD-3-Clause,true,cli
105,embedded-database-engine,org,C++,39968,4336,346,39670,11256,2020,8,BSD-3-Clause,true,data
106,robotics-motion-planning,org,C++,14872,2722,140,15477,72643,2021,3,MIT,true,cli
107,vulkan-graphics-samples,org,C++,10554,2071,103,11025,83113,2020,10,MIT,false,game
108,rails-starter-kit,org,Ruby,59922,11983,499,62898,69039,2026,10,None,true,web
109,sidekiq-job-helpers,org,Ruby,12492,1834,41,12163,17106,2024,3,BSD-3-Clause,false,api
110,ruby-algorithms-guide,org,Ruby,10950,903,44,10270,80192,2026,5,Apache-2.0,true,cli
111,devise-two-factor,org,Ruby,9511,1140,40,9665,76383,2024,10,None,true,security
112,active-record-query-utils,org,Ruby,9903,1101,58,9362,81585,2019,7,None,false,data
113,swiftui-component-gallery,user,Swift,23938,3969,103,22493,43243,2025,5,None,false,mobile
114,ios-networking-layer,user,Swift,17322,2189,68,17771,74284,2019,1,MIT,false,api
115,swift-algorithms-pack,org,Swift,76617,14400,442,76575,28379,2022,3,Apache-2.0,true,cli
116,swiftui-charts-library,org,Swift,14616,2878,99,13339,76074,2022,8,MIT,false,web
117,laravel-rest-api-starter,user,PHP,78700,9377,364,74280,40936,2021,5,GPL-3.0,true,api
118,symfony-ddd-template,org,PHP,14905,2521,59,13486,24062,2020,6,None,true,web
119,wordpress-gutenberg-blocks,user,PHP,13331,2081,60,14443,16988,2024,10,GPL-3.0,true,web
