job_id,title,company,city,country,remote,salary_usd_min,salary_usd_max,required_years,primary_skill,secondary_skills,posted_year,posted_month,applicants
70,Mobile Engineer (iOS),Amazon,Seattle,USA,hybrid,145000,176000,10,Swift,SwiftUI;Combine;Core Data,2026,1,107
71,Backend Engineer,Scale AI,San Francisco,USA,hybrid,130000,181000,8,Go,PostgreSQL;Redis;gRPC,2026,9,783
72,Mobile Engineer (iOS),Deliveroo,London,UK,hybrid,124000,165000,6,Swift,SwiftUI;Combine,2023,7,467
73,Frontend Engineer,Razorpay,Bangalore,India,hybrid,61000,73000,10,TypeScript,React;Next.js,2024,5,947
74,Frontend Engineer,DigitalOcean,New York,USA,hybrid,118000,174000,3,TypeScript,React;Next.js,2023,5,784
75,Senior Software Engineer,Revolut,London,UK,no,124000,143000,10,TypeScript,React;Node.js;AWS,2023,12,493
76,Backend Engineer,Notion,San Francisco,USA,no,114000,153000,5,Go,PostgreSQL;Redis,2025,2,502
77,Cloud Engineer,Amazon,Seattle,USA,hybrid,159000,206000,1,AWS,Terraform;Python;Kubernetes;CDK,2023,10,130
78,Senior Data Engineer,Revolut,London,UK,no,156000,184000,6,Python,Kafka;Flink;BigQuery,2023,5,391
79,Frontend Engineer,Shopify,Toronto,Canada,yes,97000,127000,5,TypeScript,React;Next.js,2024,8,241
80,Data Engineer,GoTo,Singapore,Singapore,hybrid,76000,95000,6,Python,Spark;Airflow,2024,6,687
81,Platform Engineer,Linear,San Francisco,USA,yes,133000,171000,5,Go,Kubernetes;Helm;Prometheus;Terraform,2024,6,943
82,Full Stack Engineer,Wealthsimple,Toronto,Canada,no,102000,127000,1,TypeScript,React;Node.js;PostgreSQL,2024,8,344
83,ML Engineer,Microsoft,Seattle,USA,yes,166000,187000,9,Python,PyTorch;CUDA,2024,8,974
84,ML Engineer,GoTo,Singapore,Singapore,hybrid,87000,111000,8,Python,PyTorch;CUDA,2026,3,847
85,Data Engineer,Atlassian,Sydney,Australia,no,70000,90000,2,Python,Spark;Airflow;dbt,2026,8,747
86,Data Scientist,Temporal,Seattle,USA,yes,128000,173000,5,Python,scikit-learn;PyTorch;SQL;Tableau,2023,5,814
87,Senior Software Engineer,Rippling,San Francisco,USA,no,135000,181000,8,TypeScript,React;Node.js;AWS,2025,4,22
88,Security Engineer,Wealthsimple,Toronto,Canada,yes,114000,132000,3,Python,Go;SAST;Penetration Testing;AWS IAM,2026,4,877
89,Senior Backend Engineer,Linear,San Francisco,USA,yes,169000,222000,9,Java,Spring Boot;Kafka;Kubernetes;AWS,2025,12,36
90,AI/ML Engineer,Amazon,Seattle,USA,yes,188000,225000,8,Python,LangChain;OpenAI API;FastAPI;Redis,2024,10,423
91,Security Engineer,GoTo,Singapore,Singapore,no,79000,111000,1,Python,Go;SAST;Penetration Testing;AWS IAM,2023,8,500
92,AI/ML Engineer,Monzo,London,UK,no,172000,198000,3,Python,LangChain;OpenAI API,2024,12,779
93,Security Engineer,Deliveroo,London,UK,hybrid,137000,159000,9,Python,Go;SAST;Penetration Testing,2025,5,741
94,Principal Engineer,Notion,San Francisco,USA,hybrid,235000,264000,4,Rust,C++;LLVM,2024,8,583
95,Senior Backend Engineer,Grafana Labs,Austin,USA,hybrid,177000,215000,7,Java,Spring Boot;Kafka;Kubernetes,2023,3,659
96,Mobile Engineer (iOS),Datadog,New York,USA,no,130000,171000,4,Swift,SwiftUI;Combine;Core Data,2024,9,241
97,Senior Software Engineer,Razorpay,Bangalore,India,yes,74000,92000,9,TypeScript,React;Node.js;AWS,2023,8,59
98,Database Engineer,N26,Berlin,Germany,no,99000,139000,2,PostgreSQL,MySQL;Redis,2026,3,472
99,Frontend Engineer,Datadog,New York,USA,no,95000,138000,8,TypeScript,React;Next.js,2024,6,437
100,Mobile Engineer (Android),Cloudflare,San Francisco,USA,yes,107000,136000,6,Kotlin,Jetpack Compose;Coroutines;Room;Hilt,2026,12,732
101,Database Engineer,Cockroach Labs,New York,USA,hybrid,147000,205000,10,PostgreSQL,MySQL;Redis,2024,12,587
102,Senior Data Engineer,MongoDB,New York,USA,no,170000,198000,4,Python,Kafka;Flink,2026,11,898
103,Security Engineer,Revolut,London,UK,yes,144000,183000,3,Python,Go;SAST,2024,4,481
104,Cloud Engineer,Airbnb,San Francisco,USA,hybrid,135000,156000,3,AWS,Terraform;Python;Kubernetes;CDK,2024,2,492
105,Security Engineer,Temporal,Seattle,USA,hybrid,154000,187000,9,Python,Go;SAST,2025,1,977
106,Tech Lead,Monzo,London,UK,hybrid,166000,195000,9,Python,System Design;AWS,2023,5,770
107,Senior Backend Engineer,Lyft,San Francisco,USA,no,149000,176000,4,Java,Spring Boot;Kafka;Kubernetes,2026,7,319
108,Security Engineer,Temporal,Seattle,USA,hybrid,144000,197000,6,Python,Go;SAST,2025,9,335
109,Senior Frontend Engineer,Figma,San Francisco,USA,no,131000,172000,1,TypeScript,React;GraphQL;Storybook;Playwright,2026,8,895
110,Senior Frontend Engineer,HubSpot,Boston,USA,no,154000,175000,1,TypeScript,React;GraphQL,2026,3,799
111,Platform Engineer,Deliveroo,London,UK,hybrid,140000,160000,8,Go,Kubernetes;Helm;Prometheus;Terraform,2025,3,370
112,Senior Data Scientist,Booking.com,Amsterdam,Netherlands,hybrid,163000,205000,2,Python,TensorFlow;MLflow;Spark,2025,10,907
113,Software Engineer,MongoDB,New York,USA,yes,107000,134000,3,Python,Django;PostgreSQL;Docker,2024,12,915
114,Principal Engineer,Rippling,San Francisco,USA,no,287000,310000,7,Rust,C++;LLVM,2023,5,284
115,Principal Engineer,HashiCorp,Austin,USA,no,299000,328000,4,Rust,C++;LLVM,2023,1,125
116,Data Engineer,Booking.com,Amsterdam,Netherlands,no,109000,127000,2,Python,Spark;Airflow;dbt;Snowflake,2026,4,913
117,Full Stack Engineer,DigitalOcean,New York,USA,hybrid,138000,172000,4,TypeScript,React;Node.js;PostgreSQL,2026,4,212
118,AI/ML Engineer,Figma,San Francisco,USA,no,187000,219000,2,Python,LangChain;OpenAI API;FastAPI;Redis,2026,3,493
119,Full Stack Engineer,Cloudflare,San Francisco,USA,yes,122000,156000,2,TypeScript,React;Node.js,2023,5,497
120,Tech Lead,Grab,Singapore,Singapore,no,100000,133000,3,Python,System Design;AWS;PostgreSQL;Mentoring,2024,1,811
